group,mean_EcM,mean_species_richness,mean_Le_log,se_Le_log
0,0,1.451285047,4.302970387,1.812473177
1,0.470823077,3.366101695,5.261488495,1.744346225
10,9.486862873,3.588764045,5.224487233,1.764775637
100,100,2.376734694,5.130334068,1.791738649
11,10.49038955,3.816666667,5.143106253,1.728017725
12,11.54742056,3.964835165,5.1839466,1.655453512
13,12.51388017,3.54174397,5.271088419,1.826176894
14,13.50107067,3.821596244,5.360947268,1.780210998
15,14.52478779,3.810747664,5.216303547,1.722777989
16,15.50781742,3.834763948,5.336532887,1.710430669
17,16.47615243,4.246819338,5.475859847,1.672559745
18,17.48692633,3.901315789,5.286611743,1.623377544
19,18.49248205,4.105831533,5.528433705,1.799435488
2,1.499540305,3.215517241,5.049625539,1.618144551
20,19.50418691,4.17551963,5.493982297,1.86116024
21,20.47900119,3.989316239,5.353599774,1.664800464
22,21.52776436,4.005813953,5.373267535,1.808963937
23,22.49749887,4.259079903,5.379109731,1.703105683
24,23.45514941,4.129666012,5.336113999,1.681552617
25,24.49096457,4.335012594,5.433426027,1.701701518
26,25.52771997,4.298165138,5.438794549,1.615826201
27,26.4820036,4.475583864,5.433021322,1.724371203
28,27.48799885,4.6,5.428612531,1.752327997
29,28.50446889,4.543269231,5.455209383,1.675514121
3,2.513244007,3.306291391,5.216747136,1.730959673
30,29.48627173,4.622559653,5.343453637,1.750821318
31,30.49647979,4.668122271,5.627660298,2.017424871
32,31.52178438,5.099773243,5.469731346,1.71289245
33,32.51372254,4.648717949,5.575574436,1.806072492
34,33.48198129,4.455847255,5.435204283,1.838772958
35,34.50156624,4.660633484,5.479705307,1.717175294
36,35.4925835,4.833333333,5.48722399,1.82819892
37,36.49916472,4.75,5.401853425,1.893782147
38,37.49101607,4.670168067,5.588443498,2.651625843
39,38.49241972,4.668224299,5.449555066,1.893366017
4,3.526067849,3.266550523,5.14927548,1.725951561
40,39.48719167,4.83744856,5.657226035,1.806435815
41,40.50543215,4.934640523,5.525218707,1.740995047
42,41.51788439,4.816143498,5.576222148,1.868938273
43,42.47655633,5.008016032,5.607563841,1.837046959
44,43.5099255,5.078014184,5.640138609,1.792513837
45,44.48020564,4.810707457,5.598254451,1.743299303
46,45.52473211,5.477876106,5.609684902,1.64002229
47,46.51686499,5.066666667,5.53308942,1.8647871
48,47.4896622,5.252587992,5.454626924,1.688865149
49,48.51915219,5.034798535,5.387759202,1.756659406
5,4.470281496,3.347349177,5.219113963,1.794982451
50,49.84279184,2.278641336,5.252082504,1.762776957
51,50.50420475,4.83697479,5.63808114,1.729212309
52,51.48244612,4.859615385,5.498994958,1.759831165
53,52.5142483,5.036020583,5.504972148,1.669195396
54,53.48252195,5.259328358,5.500197871,1.742178726
55,54.48485874,5.461977186,5.674212868,1.861746067
56,55.50425807,5.220703125,5.516698159,1.802778723
57,56.50773509,5.383018868,5.514851344,1.776595698
58,57.4899691,5.471794872,5.593768173,1.64683998
59,58.50473823,5.289883268,5.465744743,1.697698132
6,5.520415774,3.45661157,5.141908858,1.766343498
60,59.49843933,5.283018868,5.533296436,1.862250798
61,60.47704545,5.193605684,5.553910285,1.725608815
62,61.47556352,5.193814433,5.569461177,1.661188137
63,62.47728013,5.448217317,5.46832275,1.794985719
64,63.50570364,5.212068966,5.556885973,1.898388709
65,64.52272919,5.797153025,5.755396156,1.6197423
66,65.51499027,5.646859083,5.605405519,1.759753741
67,66.48626071,5.582938389,5.606010632,1.788445962
68,67.50313324,5.600977199,5.606202698,1.706496411
69,68.5143147,5.401109057,5.504796743,1.724423003
7,6.520363534,3.377906977,5.176345077,1.755936511
70,69.51232237,5.774193548,5.672531702,1.805633047
71,70.50456003,5.702608696,5.70070584,1.842063185
72,71.49286702,5.830870279,5.64794214,1.821594688
73,72.47890255,5.669887279,5.633229495,1.674366686
74,73.47541276,5.708967851,5.568639973,1.753522999
75,74.48057035,5.8432,5.627257401,1.887147568
76,75.51807918,5.944620253,5.79935169,1.805273206
77,76.51113182,5.63897281,5.614594082,1.780172283
78,77.51652323,5.771952818,5.646715219,1.716248572
79,78.49559748,5.528700906,5.588307087,1.681552792
8,7.509037588,3.517509728,5.268398316,1.752412429
80,79.48395875,5.675111773,5.596630043,1.779072707
81,80.50097318,5.951547779,5.671340242,1.836379734
82,81.51978394,5.406926407,5.649593871,1.756354631
83,82.49667983,5.755617978,5.621555187,1.915933473
84,83.51758447,5.582677165,5.685987173,1.729171767
85,84.51214412,5.560853199,5.57246815,1.897169445
86,85.50685003,5.373134328,5.584383658,1.861255333
87,86.47388714,5.54822335,5.677288906,1.812155208
88,87.47607693,5.569032258,5.698413888,1.861047719
89,88.50908688,5.293849658,5.647791741,1.886119975
9,8.498741683,3.694623656,5.206011,1.60668696
90,89.4883094,5.47228145,5.574124609,1.755729158
91,90.48492955,5.305045872,5.695776066,1.752577363
92,91.50365557,5.044955045,5.515451681,1.819854313
93,92.49904454,5.142424242,5.709879915,1.936029702
94,93.49432836,5.114953271,5.68510918,1.81458861
95,94.48355914,5.045335658,5.509530047,1.873837738
96,95.51600024,4.660347551,5.535589501,1.832660032
97,96.52381716,4.771769663,5.546263045,1.772396833
98,97.51635962,4.58287796,5.595121458,1.902995642
99,98.51657747,4.445229682,5.528943138,1.858675119
